Student ID,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total
S001,Aarav,M,19,88,91,85,78,94,436
S002,Diya,F,18,92,87,90,84,96,449
S003,Rohan,M,20,76,82,79,81,88,406
S004,Ananya,F,19,95,93,91,89,97,465
S005,Vikram,M,18,84,79,86,75,90,414
S006,Ishita,F,20,89,94,88,92,95,458
S007,Arjun,M,19,73,77,80,69,85,384
S008,Sneha,F,18,91,88,94,86,93,452
S009,Karthik,M,20,81,85,78,80,89,413
S010,Meera,F,19,87,90,92,88,91,448
S011,Rahul,M,18,79,83,81,74,87,404
S012,Pooja,F,20,94,91,89,93,96,463
S013,Aditya,M,19,86,80,84,77,92,419
S014,Nisha,F,18,90,95,93,85,98,461
S015,Sanjay,M,20,75,78,76,82,84,395
S016,Kavya,F,19,93,89,95,90,94,461
S017,Manoj,M,18,82,86,83,79,88,418
S018,Riya,F,20,88,92,87,91,95,453
S019,Varun,M,19,77,81,85,76,86,405
S020,Aditi,F,18,96,94,92,95,99,476
